organization-id;device-id;time-base-schedule-number;time-base-schedule-month;time-base-schedule-day;time-base-schedule-date;time-base-schedule-day-plan;day-plan-hour;day-plan-minute;date;time;offset;holiday-table;tod-flags;meter-action
Caltrans;16307;1;8190;124;4294967294;185;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;16307;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;242;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;242;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;242;3;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;242;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;241;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;241;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;241;3;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;241;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;16201;1;8190;124;4294967294;63;5;30;20191024;090858;-0700;"";;trafficResponsive
Caltrans;16201;2;8190;254;4294967294;80;9;30;20191024;090858;-0700;"";;dark
Caltrans;16201;3;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;16201;4;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;16303;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;16303;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;16203;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;16203;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;16205;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;16205;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;248;1;8190;124;4294967294;97;5;30;20191024;090857;-0700;"";;fixedRate
Caltrans;248;2;8190;124;4294967294;106;6;30;20191024;090857;-0700;"";;fixedRate
Caltrans;248;3;8190;254;4294967294;80;11;0;20191024;090857;-0700;"";;dark
Caltrans;248;4;8190;124;4294967294;227;14;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;248;5;8190;124;4294967294;231;15;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;248;6;8190;124;4294967294;227;16;30;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;248;7;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;249;1;8190;124;4294967294;97;5;30;20191024;090857;-0700;"";;fixedRate
Caltrans;249;2;8190;124;4294967294;106;6;0;20191024;090857;-0700;"";;fixedRate
Caltrans;249;3;8190;254;4294967294;80;11;0;20191024;090857;-0700;"";;dark
Caltrans;249;4;8190;124;4294967294;225;14;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;249;5;8190;124;4294967294;231;15;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;249;6;8190;124;4294967294;225;18;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;249;7;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;243;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;243;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;246;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;246;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;341;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
