orgId;deviceId;meterPlanId;meterRate;AMaxRate;AtableIniMeasure;AtableDelta;PMaxRate;PtableIniMeasure;PtableDelta;iniVolume;deltaVolume;startupThreshold;shutdownThreshold;v1selDuration
Caltrans;225;p;0;0;0;0;15;8.3;0.25;1650;25;1550;1350;1
Caltrans;228;a;0;0;0;0;15;7.9;0.27;0;0;0;0;1
Caltrans;228;p;0;0;0;0;15;7.9;0.27;1600;29;1500;1250;1
Caltrans;11612;a;0;0;0;0;15;8.3;0.24;0;0;0;0;1
Caltrans;11612;p;0;0;0;0;15;8.3;0.24;1550;25;1500;1100;1
Caltrans;227;a;0;15;8.3;0.3;15;8.3;0.29;1216;12;1350;1050;1
Caltrans;227;p;0;15;8.3;0.3;15;8.3;0.29;1700;14;1500;1100;1
Caltrans;229;a;0;0;0;0;15;8.3;0.3;0;0;0;0;1
Caltrans;229;p;0;0;0;0;15;8.3;0.3;1725;20;1700;1300;1
Caltrans;18004;a;0;0;0;0;15;9.5;0.3;0;0;0;0;1
Caltrans;18004;p;0;0;0;0;15;9.5;0.3;1650;14;1500;1300;1
Caltrans;64;a;0;0;0;0;15;9.5;0.26;0;0;0;0;1
Caltrans;64;p;0;0;0;0;15;9.5;0.26;1550;32;1500;1100;1
Caltrans;18003;a;0;15;8.3;0.3;0;0;0;2300;21;2000;1600;1
Caltrans;18003;p;0;15;8.3;0.3;0;0;0;0;0;0;0;1
Caltrans;190;a;0;15;6.6;0.22;15;6.6;0.22;1340;26;1350;1000;1
Caltrans;190;p;0;15;6.6;0.22;15;6.6;0.22;0;0;0;0;1
Caltrans;66;a;0;15;6;0.25;15;6;0.21;0;0;0;0;1
Caltrans;66;p;0;15;6;0.25;15;6;0.21;0;0;0;0;1
Caltrans;65;a;0;0;0;0;15;8.1;0.08;0;0;0;0;0
Caltrans;65;p;0;0;0;0;15;8.1;0.08;0;0;0;0;0
Caltrans;18009;a;0;15;9.5;0.3;0;0;0;1750;32;1700;1250;1
Caltrans;18009;p;0;15;9.5;0.3;0;0;0;0;0;0;0;1
Caltrans;10903;a;0;15;9.5;0.19;0;0;0;1750;18;1400;1200;1
Caltrans;10903;p;0;15;9.5;0.19;0;0;0;0;0;0;0;1
Caltrans;179;a;0;15;9.5;0.32;15;9.5;0.32;1350;61;1250;850;1
Caltrans;179;p;0;15;9.5;0.32;15;9.5;0.32;1630;12;1600;1350;1
Caltrans;11503;a;0;0;0;0;15;8.3;0.2;0;0;0;0;1
Caltrans;11503;p;0;0;0;0;15;8.3;0.2;1600;28;1550;1100;1
Caltrans;11502;a;0;0;0;0;15;8.3;0.3;0;0;0;0;1
Caltrans;11502;p;0;0;0;0;15;8.3;0.3;1550;20;1500;1150;1
Caltrans;12211;a;0;15;8.3;0.17;0;0;0;1700;21;1400;1200;1
Caltrans;12211;p;0;15;8.3;0.17;0;0;0;0;0;0;0;1
Caltrans;358;a;0;0;0;0;15;9;0.3;0;0;0;0;1
Caltrans;358;p;0;0;0;0;15;9;0.3;1750;32;1600;1300;1
Caltrans;11501;a;0;0;0;0;15;5.9;0.2;0;0;0;0;1
Caltrans;11501;p;0;0;0;0;15;5.9;0.2;0;0;0;0;1
Caltrans;12212;a;0;0;0;0;15;8.3;0.19;0;0;0;0;1
Caltrans;12212;p;0;0;0;0;15;8.3;0.19;1700;11;1300;1100;1
Caltrans;357;a;0;0;0;0;15;8.8;0.35;0;0;0;0;0
Caltrans;357;p;0;0;0;0;15;8.8;0.35;1900;14;1775;1450;0
Caltrans;356;a;0;0;0;0;15;9;0.3;0;0;0;0;0
Caltrans;356;p;0;0;0;0;15;9;0.3;1750;32;1600;1200;0
Caltrans;213;a;0;15;6;0.21;15;6;0.21;1600;29;1400;1200;1
Caltrans;213;p;0;15;6;0.21;15;6;0.21;1600;29;1400;1200;1
Caltrans;171;a;0;15;9.5;0.2;0;0;0;0;0;0;0;1
Caltrans;171;p;0;15;9.5;0.2;0;0;0;0;0;0;0;1
Caltrans;10505;a;0;0;0;0;15;8;0.11;0;0;0;0;1
Caltrans;10505;p;0;0;0;0;15;8;0.11;1700;30;1750;1525;1
Caltrans;212;a;0;0;0;0;15;8;0.15;0;0;0;0;1
Caltrans;212;p;0;0;0;0;15;8;0.15;1650;23;1625;1400;1
Caltrans;10106;a;0;15;9.5;0.22;0;0;0;0;0;0;0;1
Caltrans;10106;p;0;15;9.5;0.22;0;0;0;0;0;0;0;1
Caltrans;211;a;0;15;8.3;0.22;0;0;0;1500;11;1450;1200;1
Caltrans;211;p;0;15;8.3;0.22;0;0;0;0;0;0;0;1
Caltrans;170;a;0;15;8.3;0.26;0;0;0;1475;38;1400;1100;1
Caltrans;170;p;0;15;8.3;0.26;0;0;0;0;0;0;0;1
Caltrans;10504;a;0;15;8.9;0.3;0;0;0;1475;37;1400;1000;1
Caltrans;10504;p;0;15;8.9;0.3;0;0;0;0;0;0;0;1
Caltrans;216;a;0;0;0;0;15;8.3;0.24;0;0;0;0;1
Caltrans;216;p;0;0;0;0;15;8.3;0.24;1675;38;1600;1200;1
Caltrans;214;a;0;0;0;0;15;8.3;0.3;0;0;0;0;1
Caltrans;214;p;0;0;0;0;15;8.3;0.3;1568;18;1525;1250;1
Caltrans;11605;a;0;0;0;0;15;6.4;0.16;0;0;0;0;1
Caltrans;11605;p;0;0;0;0;15;6.4;0.16;1425;27;1400;1050;1
Caltrans;11606;a;0;0;0;0;15;8.3;0.3;0;0;0;0;1
Caltrans;11606;p;0;0;0;0;15;8.3;0.3;0;0;0;0;1
Caltrans;11603;a;0;0;0;0;15;8.3;0.21;0;0;0;0;1
Caltrans;11603;p;0;0;0;0;15;8.3;0.21;1475;23;1450;1000;1
Caltrans;218;a;0;0;0;0;15;9.5;0.25;0;0;0;0;1
Caltrans;218;p;0;0;0;0;15;9.5;0.25;0;0;0;0;1
Caltrans;11604;a;0;0;0;0;15;8.3;0.27;0;0;0;0;1
Caltrans;11604;p;0;0;0;0;15;8.3;0.27;1550;25;1450;1000;1
Caltrans;10502;a;0;0;0;0;15;8;0.11;0;0;0;0;1
Caltrans;10502;p;0;0;0;0;15;8;0.11;1700;30;1650;1525;1
Caltrans;10109;a;0;0;0;0;2;7.5;0.17;0;0;0;0;0
Caltrans;10109;p;0;0;0;0;2;7.5;0.17;0;0;0;0;0
Caltrans;10107;a;0;0;0;0;14;8.3;0.28;0;0;0;0;1
Caltrans;10107;p;0;0;0;0;14;8.3;0.28;1750;19;1700;1400;1
Caltrans;11508;a;0;0;0;0;15;8.3;0.31;0;0;0;0;1
Caltrans;11508;p;0;0;0;0;15;8.3;0.31;1600;29;1450;1100;1
Caltrans;57;a;0;15;9;0.21;0;0;0;1350;21;1400;1000;1
Caltrans;57;p;0;15;9;0.21;0;0;0;0;0;0;0;1
Caltrans;56;a;0;15;9.5;0.3;0;0;0;1547;7;1575;1360;0
Caltrans;56;p;0;15;9.5;0.3;0;0;0;0;0;0;0;0
Caltrans;11507;a;0;0;0;0;15;4;0.1;0;0;0;0;1
Caltrans;11507;p;0;0;0;0;15;4;0.1;1600;43;1232;991;1
Caltrans;11504;a;0;0;0;0;15;8.8;0.2;0;0;0;0;1
Caltrans;11504;p;0;0;0;0;15;8.8;0.2;0;0;0;0;1
Caltrans;240;a;0;15;9.5;0.26;0;0;0;0;0;0;0;16
Caltrans;240;p;0;15;9.5;0.26;0;0;0;0;0;0;0;16
Caltrans;16307;a;0;0;0;0;15;6.4;0.25;0;0;0;0;1
Caltrans;16307;p;0;0;0;0;15;6.4;0.25;1700;21;1700;1300;1
Caltrans;242;a;0;15;8.3;0.3;15;8.3;0.3;0;0;0;0;1
Caltrans;242;p;0;15;8.3;0.3;15;8.3;0.3;0;0;0;0;1
Caltrans;241;a;0;15;9.5;0.3;15;9.5;0.3;1600;14;1450;1250;1
Caltrans;241;p;0;15;9.5;0.3;15;9.5;0.3;1600;14;1450;1250;1
Caltrans;16201;a;0;15;9.5;0.3;15;9.5;0.3;1500;29;1350;1225;1
Caltrans;16201;p;0;15;9.5;0.3;15;9.5;0.3;1500;7;1000;500;1
Caltrans;16303;a;0;0;0;0;15;5.8;0.13;0;0;0;0;1
Caltrans;16303;p;0;0;0;0;15;5.8;0.13;1600;42;1550;1250;1
Caltrans;16203;a;0;0;0;0;15;8.3;0.31;0;0;0;0;1
Caltrans;16203;p;0;0;0;0;15;8.3;0.31;1600;36;1450;1300;1
Caltrans;16205;a;0;0;0;0;15;8.3;0.27;0;0;0;0;1
Caltrans;16205;p;0;0;0;0;15;8.3;0.27;1600;29;1450;1325;1
Caltrans;248;a;0;15;4.6;0.05;15;4.7;0.06;1500;25;1450;1200;1
Caltrans;248;p;0;15;4.6;0.05;15;4.7;0.06;1450;27;1400;1200;1
Caltrans;249;a;0;15;4.7;0.13;15;4.7;0.13;1250;27;1300;1100;1
Caltrans;249;p;0;15;4.7;0.13;15;4.7;0.13;1450;27;1400;1200;1
Caltrans;243;a;0;15;9.5;0.28;0;0;0;0;0;0;0;1
Caltrans;243;p;0;15;9.5;0.28;0;0;0;0;0;0;0;1
Caltrans;246;a;0;0;0;0;15;8.3;0.21;0;0;0;0;1
Caltrans;246;p;0;0;0;0;15;8.3;0.21;1600;36;1500;1150;1
Caltrans;341;a;0;0;0;0;15;8.3;0.21;0;0;0;0;1
Caltrans;341;p;0;0;0;0;15;8.3;0.21;1700;21;1408;1300;1
Caltrans;340;a;0;15;8.3;0.3;15;8.3;0.3;1600;30;1400;1250;1
Caltrans;340;p;0;15;8.3;0.3;15;8.3;0.3;1450;27;1400;1146;1
Caltrans;11107;a;0;0;0;0;15;8.3;0.22;0;0;0;0;1
Caltrans;11107;p;0;0;0;0;15;8.3;0.22;0;0;0;0;1
Caltrans;11105;a;0;0;0;0;15;9.5;0.3;0;0;0;0;1
Caltrans;11105;p;0;0;0;0;15;9.5;0.3;1600;35;1500;1100;1
Caltrans;13112;a;0;15;8.3;0.24;15;8.3;0.24;0;0;0;0;1
Caltrans;13112;p;0;15;8.3;0.24;15;8.3;0.24;0;0;0;0;1
Caltrans;13113;a;0;15;9.5;0.19;15;9.5;0.27;1650;25;1400;1150;1
Caltrans;13113;p;0;15;9.5;0.19;15;9.5;0.27;1450;27;1400;1200;1
Caltrans;11205;a;0;15;8;0.13;0;0;0;1700;21;1600;1400;1
Caltrans;11205;p;0;15;8;0.13;0;0;0;0;0;0;0;1
Caltrans;88;a;0;15;8.3;0.24;0;0;0;1600;29;1550;1250;1
Caltrans;88;p;0;15;8.3;0.24;0;0;0;0;0;0;0;1
Caltrans;11203;a;0;0;0;0;15;8;0.32;0;0;0;0;1
Caltrans;11203;p;0;0;0;0;15;8;0.32;1800;14;1750;1450;1
Caltrans;87;a;0;15;9.5;0.24;0;0;0;1600;19;1550;1250;1
Caltrans;87;p;0;15;9.5;0.24;0;0;0;0;0;0;0;1
