deviceId;status;operationalMode;mainlineFlow;currentPlanId;currentRate;carsPerLane
RMIS.9;on;dark;286;0;0;1
RMIS.270;on;dark;516;0;0;1
RMIS.12503;on;dark;504;0;0;2
RMIS.271;on;dark;506;0;0;1
RMIS.12708;on;dark;562;0;0;1
RMIS.12707;on;dark;622;0;0;1
RMIS.36;on;dark;390;0;0;1
RMIS.37;on;dark;0;0;0;2
RMIS.38;on;dark;563;0;0;2
RMIS.39;on;dark;495;0;0;2
RMIS.32;on;dark;342;0;0;1
RMIS.33;on;dark;75;0;0;1
RMIS.12509;on;dark;458;0;0;2
RMIS.34;on;dark;0;0;0;2
RMIS.35;on;dark;435;0;0;2
RMIS.12602;on;dark;574;0;0;2
RMIS.12601;on;dark;0;0;0;2
RMIS.31;on;dark;255;0;0;1
